name,city,pct,enrollment,url,dbn,otherExemptions,religiousExemptions,BEDS,charter
47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,MANHATTAN,95.5,157,http://data.schoolbook.org/school/41-47-the-american-sign-language-and-english-secondary-school,02M047,,,,
A CHILD'S PLACE,QUEENS,100,,,,,,3.42401E+11,
A FANTIS PAROCHIAL SCHOOL,BROOKLYN,97,,,,,,3.31501E+11,
A NEW DAWN ELEMENTARY &PRE-SCHOOL,QUEENS,100,,,,,,3.42701E+11,
A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL,MANHATTAN,98.3,1262,http://data.schoolbook.org/school/297-a-philip-randolph-campus-high-school,06M540,12,,,
A.C.E. ACADEMY FOR SCHOLARS AT THE GERALDINE FERRARO CAMPUS,NEW YORK,97.7,432,http://data.schoolbook.org/school/1125-ps-290,24Q290,,,,
AARON SCHOOL,MANHATTAN,100,,,,,,3.10201E+11,
AARON SCHOOL,MANHATTAN,92.6,,,,,,3.10201E+11,
ABC PRESCHOOL & KIND CTR,QUEENS,95,,,,,,3.42401E+11,
ABRAHAM JOSHUA HESCHEL SCHOOL,MANHATTAN,99.9,,,,,,3.102E+11,
ABRAHAM LINCOLN HIGH SCHOOL,BROOKLYN,97.6,2017,http://data.schoolbook.org/school/1017-abraham-lincoln-high-school,21K410,40,,,
ACADEMY FOR CAREERS IN TELEVISION AND FILM,QUEENS,99.2,489,http://data.schoolbook.org/school/1398-academy-for-careers-in-television-and-film,30Q301,,,,
ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOARD SCHOOL,BROOKLYN,95.4,458,http://data.schoolbook.org/school/837-academy-for-college-preparation-and-career-exploration-a-college-board-school,17K382,,,,
ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,BROOKLYN,96.6,263,http://data.schoolbook.org/school/894-academy-for-conservation-and-the-environment,18K637,,,,
ACADEMY FOR ENVIRONMENTAL LEADERSHIP,BROOKLYN,96.1,280,http://data.schoolbook.org/school/1491-academy-for-environmental-leadership,32K403,,,,
ACADEMY FOR HEALTH CAREERS,BROOKLYN,98.2,339,http://data.schoolbook.org/school/942-academy-for-health-careers,17K751,,,
ACADEMY FOR LANGUAGE AND TECHNOLOGY,BRONX,86.8,295,http://data.schoolbook.org/school/448-academy-for-language-and-technology,09X365,29,,
ACADEMY FOR NEW AMERICANS,QUEENS,75.3,178,http://data.schoolbook.org/school/1395-academy-for-new-americans,30Q235,43,,
ACADEMY FOR PERSONAL LEADERSHIP AND EXCELLENCE,BRONX,93.4,426,http://data.schoolbook.org/school/519-academy-for-personal-leadership-and-excellence,10X363,17,,
ACADEMY FOR SCHOLARSHIP AND ENTREPRENEURSHIP: A COLLEGE BOARD SCHOOL,BRONX,96.4,334,http://data.schoolbook.org/school/579-academy-for-scholarship-and-entrepreneurship-a-college-board-school,11X270,,,
ACADEMY FOR SOCIAL ACTION: A COLLEGE BOARD SCHOOL,MANHATTAN,94.6,166,http://data.schoolbook.org/school/245-academy-for-social-action-a-college-board-school,05M367,,,
ACADEMY FOR SOFTWARE ENGINEERING,MANHATTAN,97.1,345,http://data.schoolbook.org/school/4147-academy-for-software-engineering,02M546,,,
ACADEMY FOR YOUNG WRITERS,BROOKLYN,99.2,496,http://data.schoolbook.org/school/4252-academy-for-young-writers,19K404,,,
ACADEMY MT ST URSULA,BRONX,99.7,,,,,,3.21E+11
ACADEMY OF AMERICAN STUDIES,LONG ISLAND CITY,99.4,845,http://data.schoolbook.org/school/1404-academy-of-american-studies,30Q575,,,
ACADEMY OF APPLIED MATHEMATICS AND TECHNOLOGY,BRONX,100,304,http://data.schoolbook.org/school/324-academy-of-applied-mathematics-and-technology,07X343,,,
ACADEMY OF ARTS AND LETTERS,BROOKLYN,94.1,492,http://data.schoolbook.org/school/685-urban-assembly-academy-of-arts-and-letters,13K492,,11,
ACADEMY OF FINANCE AND ENTERPRISE,QUEENS,99.4,462,http://data.schoolbook.org/school/1123-academy-of-finance-and-enterprise,24Q264,,,
ACADEMY OF HOSPITALITY AND TOURISM,BROOKLYN,95.2,227,http://data.schoolbook.org/school/842-academy-of-hospitality-and-tourism,17K408,,,
ACADEMY OF INNOVATIVE TECHNOLOGY,BROOKLYN,97.6,369,http://data.schoolbook.org/school/935-academy-of-innovative-technology,19K618,,,
ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCHOOL,QUEENS,93.4,589,http://data.schoolbook.org/school/1262-academy-of-medical-technology-a-college-board-school,27Q309,35,,
ACADEMY OF PUBLIC RELATIONS,BRONX,97.5,353,http://data.schoolbook.org/school/321-academy-of-public-relations,07X298,,,
ACADEMY OF ST DOROTHY,STATEN ISLAND,98.8,,,,,,3.531E+11
ACADEMY OF ST. JOSEPH,MANHATTAN,88.9,,,,,,3.102E+11
ACADEMY OF URBAN PLANNING,BROOKLYN,93.1,216,http://data.schoolbook.org/school/1494-academy-of-urban-planning,32K552,,,
ACCION ACADEMY,BRONX,98,152,http://data.schoolbook.org/school/637-accion-academy,12X341,,,
ACH TOV V'CHESED,BROOKLYN,95.4,,,,,,3.314E+11
ACORN COMMUNITY HIGH SCHOOL,BROOKLYN,99,408,http://data.schoolbook.org/school/686-acorn-community-high-school,13K499,,,
ADELPHI ACADEMY,BROOKLYN,100,,,,,,3.32001E+11
AHABA VE AHVA CONG. AND YESHIVA,BROOKLYN,97.8,,,,,,3.321E+11
AHI EZER YESHIVA,BROOKLYN,97.5,,,,,,3.321E+11
AL MADRASA AL ISLAMIYA,BROOKLYN,88.6,,,,,,3.31501E+11
AL MAMOOR SCHOOL,QUEENS,96.8,,,,,,3.42801E+11
AL-IHSAN ACADEMY,QUEENS,98.8,,,,,,3.42701E+11
AL-IMAN SCHOOL,QUEENS,99.1,,,,,,3.42801E+11
AL-MADINAH SCHOOL,BROOKLYN,89.5,,,,,,3.31501E+11
AL-NOOR SCHOOL,BROOKLYN,99.7,,,,,,3.31501E+11
ALBERT SHANKER SCHOOL FOR VISUAL AND PERFORMING ARTS,QUEENS,99.5,553,http://data.schoolbook.org/school/1377-albert-shanker-school-for-visual-and-performing-arts,30Q126,,,
ALEXANDER ROBERTSON SCH,MANHATTAN,93.8,,,,,,3.10301E+11
ALFRED E. SMITH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,BRONX,100,327,http://data.schoolbook.org/school/338-alfred-e-smith-career-and-technical-education-high-school,07X600,,,
ALL CITY LEADERSHIP SECONDARY SCHOOL,BROOKLYN,99.1,351,http://data.schoolbook.org/school/1495-all-city-leadership-secondary-school,32K554,,,
ALL HALLOWS INSTITUTE,BRONX,99.8,,,,,,3.209E+11
ALL SOULS SCHOOL,MANHATTAN,100,,,,,,3.10201E+11
ALLEN CHRISTIAN SCHOOL,QUEENS,90,,,,,,3.42901E+11
ALLEN STEVENSON SCHOOL (THE),MANHATTAN,96.6,,,,,,3.10201E+11
AMERICA COME BACK TO GOD CHRISTIAN ACADEMY,BROOKLYN,82.9,,,,,,3.31901E+11
AMISTAD DUAL LANGUAGE SCHOOL,MANHATTAN,97.9,427,http://data.schoolbook.org/school/277-amistad-dual-language-school,06M311,,,
AMPARK NEIGHBORHOOD,BRONX,98.4,375,http://data.schoolbook.org/school/517-ampark-neighborhood,10X344,,,
ANDRIES HUDDE,BROOKLYN,97.9,897,http://data.schoolbook.org/school/1046-andries-hudde,22K240,,,
ANGLO AMERICAN INTERNATIONAL SCHOOL,MANHATTAN,96.3,,,,,,3.10301E+11
ANTONIA PANTOJA PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,BRONX,86.3,415,http://data.schoolbook.org/school/380-antonia-pantoja-preparatory-academy-a-college-board-school,08X376,48,,
AQUINAS H S,BRONX,100,,,,,,3.21E+11
ARCHBISHOP MOLLOY H S,QUEENS,99.8,,,,,,3.429E+11
ARCHER ELEMENTARY SCHOOL,BRONX,99.2,506,http://data.schoolbook.org/school/3486-archer-elementary-school,12X531,,,
"ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOGY APPLICATIONS",BRONX,99.3,605,http://data.schoolbook.org/school/377-archimedes-academy-for-math-science-and-technology-applications,08X367,,,
ARISTA PREP SCHOOL,BROOKLYN,87.5,,,,,,3.31701E+11
ARK CHRISTIAN ACADEMY,BROOKLYN,100,,,,,,3.32301E+11
ART AND DESIGN HIGH SCHOOL,MANHATTAN,98.9,1366,http://data.schoolbook.org/school/137-art-and-design-high-school,02M630,,,
ARTS & MEDIA PREPARATORY ACADEMY,BROOKLYN,98.2,219,http://data.schoolbook.org/school/888-arts-media-preparatory-academy,18K589,,,
ARTURO A. SCHOMBURG SATELLITE ACADEMY BRONX,BRONX,100,82,http://data.schoolbook.org/school/642-arturo-a-schomburg-satellite-academy-bronx,12X446,,,
