name,pct,medPct,relPct,city,BEDS,enrollment
MONTESSORI MAGNET SCHOOL,97.7,0,1.3,ALBANY,010100010014,335
PINE HILLS ELEM SCHOOL,98.3,0,0,ALBANY,010100010016,364
DELAWARE COMMUNITY SCHOOL,95.5,0,0.7,ALBANY,010100010018,445
PS 19,98.8,0,0.4,ALBANY,010100010019,519
NORTH ALBANY ACADEMY,98.4,0,0.5,ALBANY,010100010020,383
ALBANY SCHOOL OF HUMANITIES,98.1,0,0.2,ALBANY,010100010023,490
EAGLE POINT ELEMENTARY SCHOOL,95.2,0,0,ALBANY,010100010027,348
THOMAS S OBRIEN SCHOOL,98.8,0,0.5,ALBANY,010100010028,421
GIFFEN MEMORIAL SCHOOL,93.7,0,0,ALBANY,010100010029,413
WM S HACKETT MIDDLE SCHOOL,96.1,0,0.3,ALBANY,010100010030,686
ALBANY H S,94,0.3,0.3,ALBANY,010100010034,2262
ARBOR HILL ES,99.1,0,0,ALBANY,010100010039,333
PHILIP SCHUYLER ACHIEVEMENT ACADEMY,98.7,0,0,ALBANY,010100010043,297
SHERIDAN PREPARATORY ACADEMY,97.9,0,0,ALBANY,010100010044,360
MYERS MIDDLE SCHOOL,99.7,0,0.2,ALBANY,010100010045,670
ST ANNE INSTITUTE,92.2,0,0,ALBANY,010100115658,
BLESSED SACRAMENT SCHOOL,100,0,0,ALBANY,010100115665,
MATER CHRISTI SCHOOL,97.7,0,0.6,ALBANY,010100115671,
ALL SAINTS CATHOLIC ACADEMY,99.2,0,0,ALBANY,010100115684,
ACAD OF HOLY NAME LOWER MS,100,0,0,ALBANY,010100115685,
LA SALLE SCHOOL,80,0,0,ALBANY,010100115705,
ACAD OF HOLY NAME UPPER SCHOOL,99.6,0.4,0,ALBANY,010100115724,
BISHOP MAGINN HS,100,0,0,ALBANY,010100118044,
MAIMONIDES HEBREW DAY SCHOOL,84.1,4.4,10.1,ALBANY,010100208496,
ST MATTHEW LUTHERAN SCHOOL,100,0,0,ALBANY,010100317828,
BRIGHTER CHOICE CHARTER SCHOOL FOR BOYS,100,0,0,ALBANY,010100860829,273
BRIGHTER CHOICE CHARTER SCHOOL FOR GIRLS,99.6,0,0.4,ALBANY,010100860830,272
KIPP TECH VALLEY CHARTER SCHOOL,95.1,0,0.3,ALBANY,010100860867,308
HENRY JOHNSON CHARTER SCHOOL,98.4,0,0.8,ALBANY,010100860892,386
ALBANY COMMUNITY CHARTER SCHOOL,98.7,0,0.4,ALBANY,010100860899,556
GREEN TECH CHARTER SCHOOL,99.4,0,0.3,ALBANY,010100860907,355
ALBANY LEADERSHIP CHARTER HIGH SCHOOL FOR GIRLS,97.5,0,1.1,ALBANY,010100860960,372
BRIGHTER CHOICE CHARTER MS FOR BOYS,96.4,0,1.4,ALBANY,010100860976,214
BRIGHTER CHOICE CHARTER MIDDLE SCHOOL FOR GIRLS,98.6,0,0,ALBANY,010100860977,220
HARRIET TUBMAN DEMOCRATIC HS,91.3,0,8.7,ALBANY,010100996053,
THE ALBANY ACADEMY,99.3,0,0.7,ALBANY,010100996426,
THE ALBANY ACADEMIES,99.7,0,0.3,ALBANY,010100996428,
HELLMAN SCHOOL PARSONS CTR,73.1,0,0,ALBANY,010100996557,
ALBANY FREE SCHOOL (THE),67.7,0,0,ALBANY,010100997616,
R & E MAY SCHOOL,100,0,0,ALBANY,010100997791,
CENTER FOR DISABILITY SERVICES LANGAN SCHOOL,93.6,3.6,2.1,ALBANY,010100997850,
BERNE KNOX JSHS,98.2,0.6,0.8,BERNE,010201040001,428
BERNE ES,98.4,0.4,0.5,BERNE,010201040002,427
